,number of nodes,number of edges,depth,width,diameter,number of binary splits,number of non binary splits,total number of splits,max cardinality,avg cardinality including binary splits,avg cardinality excluding binary splits,ratio nodes edges,ratio edges nodes,min degree,max degree,avg degree,coefficient variation degrees,entropy of distributions degrees,min in degree,max in degree,avg in degree,coefficient variation in degrees,entropy of distributions in degrees,min out degree,max out degree,avg out degree,coefficient variation out degrees,entropy of distributions out degrees
count,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0,223033.0
mean,17.80673711961907,16.80673711961907,6.11676747387158,3.1153013231225875,6.975362390318922,7.211757901297117,0.015934861657243546,7.227692762954361,1.5858012043060892,1.5266843910451673,0.08925879218134175,0.897291153652915,0.6544617564257715,1.2250115453766932,1.8618052037142485,1.632477029240058,0.09719120798360127,0.48310257977458404,0.7591432657947479,0.7591432657947479,0.7591432657947479,0.0,0.0,0.921760456972735,1.584904476019244,1.371662750599341,0.14722009585084458,0.46256304190500175
std,55.505601127317895,55.505601127317895,18.287747851443736,3.8363834919790545,19.098265107620268,25.214275760623913,0.16526230718814913,25.245168421591895,1.7766741047180992,0.9269065487767619,1.5141612792912111,0.5271907560430449,0.3811099610325846,0.9928155680838174,2.061438149127362,1.3523405814102094,0.08909936957972128,0.43334527904919967,0.42760447566329957,0.42760447566329957,0.42760447566329957,0.0,0.0,0.6324339801291979,1.7771486611761695,0.8338442148117639,0.13452984089282816,0.4085153593685385
min,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,3.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0053475935828877,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.5,0.0,0.0
50%,6.0,5.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0714285714285714,0.8333333333333334,2.0,3.0,2.5,0.12247448713915891,0.5916727785823274,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.75,0.1884222879063983,0.5916727785823274
75%,16.0,15.0,6.0,3.0,8.0,6.0,0.0,6.0,2.0,2.0,0.0,1.2,0.9375,2.0,3.0,2.75,0.1767766952966369,0.9182958340544894,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.875,0.26352313834736496,0.8631205685666311
max,5716.0,5715.0,2857.0,733.0,2858.0,2857.0,18.0,2857.0,278.0,94.66666666666667,232.0,1.5,0.9998250524842547,30.0,279.0,95.33333333333333,3.0094455355943803,2.0403733936884962,1.0,1.0,1.0,0.0,0.0,16.0,278.0,71.25,4.270229886229781,2.0
